t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_NC7H16(15)     WG_NC7H16(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    NC7H16_x(26)      O2_x(27)          H2O_x(28)         CO2_x(29)         CO_x(30)          N2_x(31)          NC7H16_w(32)      O2_w(33)          H2O_w(34)         CO2_w(35)         CO_w(36)          N2_w(37)          
3.431072192e-01   7.002188147e-01   6.912448885e-01   4.778194959e-01   9.751418284e-01   1.501114218e+00   1.729395884e-01   9.418174588e-02   1.302053009e-01     4.090520167e-01     3.913181787e-02    3.750758360e+02   1.766540783e-05   5.473925060e-03   1.000000000e+00   5.043970532e-01   -1.233458238e+04  -1.856019009e+04    2.233799939e+04     8.662747025e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.215036873e-01   2.262232303e-20   1.412124901e-20   7.996338146e-21   0.000000000e+00   7.784963127e-01   5.043970532e-01   1.644986050e-20   5.781087805e-21   7.997142542e-21   0.000000000e+00   4.956029468e-01   
4.431072192e-01   9.043004473e-01   6.801312587e-01   4.625785291e-01   9.440378145e-01   1.453233309e+00   1.647315666e-01   1.274293527e-01   1.733373721e-01     5.445554147e-01     4.652009931e-02    3.809766834e+02   1.416590080e-05   6.200448478e-03   1.000000000e+00   5.591236637e-01   -1.445803033e+04  -1.405188686e+04    2.006284229e+04     8.595501822e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.617471475e-01   2.221980755e-20   0.000000000e+00   0.000000000e+00   0.000000000e+00   7.382528525e-01   5.591236637e-01   1.515652528e-20   0.000000000e+00   0.000000000e+00   0.000000000e+00   4.408763363e-01   
5.356072192e-01   1.093075958e+00   6.670614393e-01   4.449709638e-01   9.081040078e-01   1.397917511e+00   1.554161445e-01   1.546163890e-01   2.062772620e-01     6.480391309e-01     5.252113748e-02    3.849782963e+02   1.133868926e-05   6.757686791e-03   1.000000000e+00   5.961698473e-01   -1.616283636e+04  -1.076786510e+04    1.856657797e+04     8.548086222e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.921463568e-01   0.000000000e+00   1.470102168e-19   1.268391175e-25   1.371990746e-20   7.078536432e-01   5.961698473e-01   0.000000000e+00   5.393391219e-20   1.136775877e-25   7.826082608e-21   4.038301527e-01   
5.856072192e-01   1.195116774e+00   6.589951912e-01   4.342746620e-01   8.862748205e-01   1.364314088e+00   1.498460705e-01   1.679049236e-01   2.212970745e-01     6.952252634e-01     5.545468335e-02    3.867016120e+02   9.982377410e-06   7.023839601e-03   1.000000000e+00   6.119957210e-01   -1.699190644e+04  -9.286045441e+03    1.795380960e+04     8.527205612e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.060174346e-01   1.955572211e-20   0.000000000e+00   1.020512115e-21   0.000000000e+00   6.939825654e-01   6.119957210e-01   1.248847797e-20   0.000000000e+00   8.963393979e-22   0.000000000e+00   3.880042790e-01   
6.856072192e-01   1.399198407e+00   6.409774008e-01   4.108520283e-01   8.384735272e-01   1.290729714e+00   1.378880962e-01   1.919012728e-01   2.460087580e-01     7.728593070e-01     6.077748086e-02    3.894303344e+02   7.598831401e-06   7.503253982e-03   1.000000000e+00   6.369308638e-01   -1.849382552e+04  -6.828317165e+03    1.706503226e+04     8.493567149e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.290586237e-01   2.424132401e-21   0.000000000e+00   0.000000000e+00   0.000000000e+00   6.709413763e-01   6.369308638e-01   1.498334546e-21   0.000000000e+00   0.000000000e+00   0.000000000e+00   3.630691362e-01   
7.856072192e-01   1.603280039e+00   6.207156280e-01   3.852878908e-01   7.863018179e-01   1.210417607e+00   1.252208542e-01   2.128836418e-01   2.642804068e-01     8.302613844e-01     6.549979806e-02    3.914099073e+02   5.633675847e-06   7.933279620e-03   1.000000000e+00   6.548666683e-01   -1.982890831e+04  -4.926107116e+03    1.655209247e+04     8.468717125e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.466011960e-01   4.602668937e-21   4.320984997e-20   3.521900582e-21   0.000000000e+00   6.533988040e-01   6.548666683e-01   2.776936867e-21   1.467744499e-20   2.922483224e-21   0.000000000e+00   3.451333317e-01   
8.856072192e-01   1.807361672e+00   5.984815157e-01   3.581801246e-01   7.309798462e-01   1.125256048e+00   1.122408242e-01   2.314818219e-01   2.770751833e-01     8.704573603e-01     6.978602471e-02    3.928237259e+02   4.042104578e-06   8.335673845e-03   1.000000000e+00   6.675962630e-01   -2.104843514e+04  -3.462031785e+03    1.635068088e+04     8.450736533e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.595816422e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   6.404183578e-01   6.675962630e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   3.324037370e-01   
9.856072192e-01   2.011443304e+00   5.744816691e-01   3.300291881e-01   6.735289553e-01   1.036817273e+00   9.927208624e-02   2.483376180e-01   2.853308186e-01     8.963932036e-01     7.379635856e-02    3.938018668e+02   2.775850856e-06   8.729346262e-03   1.000000000e+00   6.763441359e-01   -2.220061919e+04  -2.343331726e+03    1.641981522e+04     8.438181839e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.687710914e-01   2.473959283e-20   3.843502585e-19   6.258030224e-20   0.000000000e+00   6.312289086e-01   6.763441359e-01   1.448894778e-20   1.267310145e-19   5.040813411e-20   0.000000000e+00   3.236558641e-01   
1.085607219e+00   2.215524937e+00   5.488618863e-01   3.012493702e-01   6.147946330e-01   9.464028083e-01   8.657407175e-02   2.639847682e-01   2.897823556e-01     9.103781195e-01     7.766459382e-02    3.944431027e+02   1.801504114e-06   9.128248547e-03   1.000000000e+00   6.820389111e-01   -2.332459603e+04  -1.504570007e+03    1.673559010e+04     8.429898606e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.748757043e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   6.251242957e-01   6.820389111e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   3.179610889e-01   
1.185607219e+00   2.419606570e+00   5.216987880e-01   2.721696254e-01   5.554482152e-01   8.550460958e-01   7.434608532e-02   2.792103438e-01   2.913273959e-01     9.152320069e-01     8.158498939e-02    3.948161939e+02   1.064598373e-06   9.552928912e-03   1.000000000e+00   6.853615376e-01   -2.447765362e+04  -8.822792826e+02    1.728901630e+04     8.425056604e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.784831579e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.263566854e-20   6.215168421e-01   6.853615376e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   6.395803442e-21   3.146384624e-01   
