t[s](1)           t[s/mm2](2)       r[mm](3)          r/rd[-](4)        T[K](5)           Tfib[K](6)        v[m/s](7)         dummy(8)          NC7H16_w(9)       
4.401213747e-05   8.982068871e-05   2.461364069e-01   7.033544000e-01   3.000000000e+02   3.000000000e+02   7.858652660e-23   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   2.551812640e-01   7.292008000e-01   3.000000000e+02   3.000000000e+02   7.338433568e-23   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   2.637141493e-01   7.535842000e-01   3.000000000e+02   3.000000000e+02   6.892404608e-23   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   2.717640035e-01   7.765873000e-01   3.000000000e+02   3.000000000e+02   6.506974311e-23   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   2.793582624e-01   7.982885000e-01   3.000000000e+02   3.000000000e+02   6.183279087e-23   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   2.865226120e-01   8.187612000e-01   3.000000000e+02   3.000000000e+02   8.490349616e-23   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   2.932814436e-01   8.380751000e-01   3.000000000e+02   3.000000000e+02   7.152536600e-21   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   2.996577137e-01   8.562958000e-01   3.000000000e+02   3.000000000e+02   5.881232566e-18   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   3.056730490e-01   8.734851000e-01   3.000000000e+02   3.000000000e+02   4.748613961e-16   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   3.113479213e-01   8.897015000e-01   3.000000000e+02   3.000000000e+02   2.884891327e-14   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   3.167015428e-01   9.049999000e-01   3.000000000e+02   3.000000000e+02   1.441125779e-12   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   3.217521456e-01   9.194324000e-01   3.000000001e+02   3.000000000e+02   5.811038897e-11   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   3.265168421e-01   9.330479000e-01   3.000000035e+02   3.000000000e+02   1.844764233e-09   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   3.310118698e-01   9.458928000e-01   3.000001043e+02   3.000000000e+02   4.456630534e-08   0.000000000e+00   1.000000000e+00   
