t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_NC7H16(15)     WG_NC7H16(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    NC7H16_x(26)      O2_x(27)          CO2_x(28)         CO_x(29)          H2O_x(30)         N2_x(31)          NC7H16_w(32)      O2_w(33)          CO2_w(34)         CO_w(35)          H2O_w(36)         N2_w(37)          
1.951751808e-05   1.351628676e-04   3.800083778e-01   1.444063672e-01   1.000044094e+00   4.536659823e-01   2.873281233e-02   -1.037356929e+00  -7.884086479e-01    -2.476858816e+00    1.774001603e-01    3.061214535e+02   7.800697386e-04   1.272103065e-01   1.000000000e+00   2.512236912e-01   -6.401543490e+04  -8.253267658e+05    8.891171313e+05     -3.594532347e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.782420551e-02   1.706770477e-01   7.624547482e-07   2.388482732e-04   3.873248757e-04   7.408718112e-01   2.512236912e-01   1.559031622e-01   9.578831673e-07   1.909818880e-04   1.991895849e-04   5.924820172e-01   
2.034987757e-05   1.409271300e-04   3.800092516e-01   1.444070313e-01   1.000048693e+00   4.536680686e-01   2.873301053e-02   -1.059286189e+00  -8.050771040e-01    -2.529224316e+00    1.784188402e-01    3.064610285e+02   7.926285618e-04   1.277217179e-01   1.000000000e+00   2.545236758e-01   -6.434681020e+04  -8.417671500e+05    9.058851271e+05     -3.800355471e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.922931597e-02   1.703061717e-01   1.258643905e-06   3.012036770e-04   4.831852630e-04   7.396788647e-01   2.545236758e-01   1.551259481e-01   1.576796348e-06   2.401621739e-04   2.477873760e-04   5.898608497e-01   
2.246861083e-05   1.555997980e-04   3.800115530e-01   1.444087804e-01   1.000060806e+00   4.536735637e-01   2.873353259e-02   -1.109979058e+00  -8.436097312e-01    -2.650278134e+00    1.813054598e-01    3.073129561e+02   8.224752291e-04   1.292171930e-01   1.000000000e+00   2.629187540e-01   -6.529539089e+04  -8.803598616e+05    9.454180054e+05     -4.319745434e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.283701698e-02   1.692898556e-01   3.889068124e-06   5.083066248e-04   7.969346867e-04   7.365639971e-01   2.629187540e-01   1.530963236e-01   4.837244553e-06   4.023924947e-04   4.057588414e-04   5.831719338e-01   
2.489002027e-05   1.723685614e-04   3.800143028e-01   1.444108704e-01   1.000075280e+00   4.536801294e-01   2.873415635e-02   -1.159041386e+00  -8.809046085e-01    -2.767443447e+00    1.850362087e-01    3.082641871e+02   8.528033803e-04   1.312051497e-01   1.000000000e+00   2.724892380e-01   -6.653335030e+04  -9.194924410e+05    9.857809678e+05     -4.904803608e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.700774951e-02   1.679822237e-01   1.158723502e-05   8.415956881e-04   1.294990052e-03   7.328618538e-01   2.724892380e-01   1.506744762e-01   1.429469344e-05   6.608001614e-04   6.539645862e-04   5.755072264e-01   
2.731142971e-05   1.891373249e-04   3.800171610e-01   1.444130427e-01   1.000090323e+00   4.536869540e-01   2.873480471e-02   -1.200255893e+00  -9.122356741e-01    -2.865872892e+00    1.891574457e-01    3.091924446e+02   8.798017018e-04   1.334381426e-01   1.000000000e+00   2.820294637e-01   -6.790958185e+04  -9.544004555e+05    1.022059432e+06     -5.480977317e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.012266744e-01   1.664924926e-01   2.951900412e-05   1.288981276e-03   1.961740143e-03   7.290005926e-01   2.820294637e-01   1.481247421e-01   3.612046392e-05   1.003852338e-03   9.826206019e-04   5.678232008e-01   
3.033819151e-05   2.100982791e-04   3.800208628e-01   1.444158562e-01   1.000109807e+00   4.536957929e-01   2.873564445e-02   -1.244533779e+00  -9.458976009e-01    -2.971624954e+00    1.948554860e-01    3.103245339e+02   9.107609616e-04   1.365655921e-01   1.000000000e+00   2.939328789e-01   -6.982216181e+04  -9.937474257e+05    1.063313347e+06     -6.190728826e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.065770727e-01   1.643334286e-01   8.014315380e-05   2.014096344e-03   3.057310131e-03   7.239379491e-01   2.939328789e-01   1.447250594e-01   9.707399771e-05   1.552702799e-03   1.515893707e-03   5.581763913e-01   
3.336495331e-05   2.310592334e-04   3.800246894e-01   1.444187646e-01   1.000129949e+00   4.537049299e-01   2.873651251e-02   -1.283396282e+00  -9.754445471e-01    -3.064449423e+00    2.012253688e-01    3.114322555e+02   9.400353424e-04   1.401003637e-01   1.000000000e+00   3.058631314e-01   -7.196979735e+04  -1.030126477e+06    1.101835561e+06     -6.892762936e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.120372274e-01   1.617920942e-01   1.878135735e-04   2.915737493e-03   4.470827403e-03   7.185962999e-01   3.058631314e-01   1.410442915e-01   2.251872821e-04   2.225035339e-03   2.194307845e-03   5.484480466e-01   
3.639171511e-05   2.520201877e-04   3.800286299e-01   1.444217596e-01   1.000150689e+00   4.537143389e-01   2.873740643e-02   -1.320060951e+00  -1.003321909e+00    -3.152028739e+00    2.084091794e-01    3.125252440e+02   9.694493427e-04   1.441232396e-01   1.000000000e+00   3.179035826e-01   -7.440090862e+04  -1.065348447e+06    1.139484556e+06     -7.592841069e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.176498871e-01   1.588046581e-01   3.926941689e-04   3.969439801e-03   6.230544063e-03   7.129527768e-01   3.179035826e-01   1.370252439e-01   4.660263417e-04   2.998174053e-03   3.026737469e-03   5.385802356e-01   
3.941847690e-05   2.729811420e-04   3.800326844e-01   1.444248412e-01   1.000172031e+00   4.537240201e-01   2.873832623e-02   -1.357504251e+00  -1.031791969e+00    -3.241470070e+00    2.166212468e-01    3.136153627e+02   1.000817506e-03   1.487562736e-01   1.000000000e+00   3.301694809e-01   -7.718884715e+04  -1.101213088e+06    1.178132719e+06     -8.298435792e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.234775996e-01   1.552827526e-01   7.549368547e-04   5.136283416e-03   8.376735682e-03   7.069716919e-01   3.301694809e-01   1.325883631e-01   8.865668363e-04   3.839029438e-03   4.026877651e-03   5.284896821e-01   
4.244523870e-05   2.939420963e-04   3.800368532e-01   1.444280098e-01   1.000193974e+00   4.537339746e-01   2.873927199e-02   -1.397782637e+00  -1.062417830e+00    -3.337684049e+00    2.261675242e-01    3.147160458e+02   1.035635541e-03   1.541724944e-01   1.000000000e+00   3.428001042e-01   -8.043852145e+04  -1.139369079e+06    1.219533140e+06     -9.018372826e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.296018909e-01   1.511484365e-01   1.341121472e-03   6.360200289e-03   1.093573464e-02   7.006126162e-01   3.428001042e-01   1.276634880e-01   1.557936774e-03   4.702449208e-03   5.200228710e-03   5.180757931e-01   
