t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    TMax[K](6)        DTMax[mm](7)      DTMax/D[-](8)     OHMax[-](9)       DOHMax[mm](10)    DOHMax/D[-](11)    fvMax[-](12)      DfvMax[mm](13)    DfvMax/D[-](14)    
3.343856440e-05   6.504431022e-05   7.170093424e-01   5.141023971e-01   1.000026060e+00   1.639606475e+03   2.209245853e+00   3.081195352e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.415238257e-05   6.643282111e-05   7.170095946e-01   5.141027587e-01   1.000026763e+00   1.636448284e+03   2.209245853e+00   3.081194269e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.465205529e-05   6.740477873e-05   7.170097718e-01   5.141030129e-01   1.000027258e+00   1.634282983e+03   2.198059578e+00   3.065592220e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.536587346e-05   6.879328961e-05   7.170100265e-01   5.141033781e-01   1.000027968e+00   1.631251563e+03   2.198059578e+00   3.065591131e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.597261891e-05   6.997352386e-05   7.170102441e-01   5.141036901e-01   1.000028575e+00   1.628730197e+03   2.198059578e+00   3.065590201e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.657936436e-05   7.115375811e-05   7.170104626e-01   5.141040035e-01   1.000029185e+00   1.626257569e+03   2.198059578e+00   3.065589266e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.722180071e-05   7.240341791e-05   7.170106951e-01   5.141043369e-01   1.000029833e+00   1.623690709e+03   2.198059578e+00   3.065588272e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.793561888e-05   7.379192879e-05   7.170109545e-01   5.141047089e-01   1.000030557e+00   1.620897786e+03   2.198059578e+00   3.065587163e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.850667342e-05   7.490273750e-05   7.170111629e-01   5.141050077e-01   1.000031138e+00   1.618706843e+03   2.198059578e+00   3.065586272e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.922049159e-05   7.629124839e-05   7.170114243e-01   5.141053826e-01   1.000031867e+00   1.616020200e+03   2.198059578e+00   3.065585155e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.043398248e-05   7.865171689e-05   7.170118709e-01   5.141060231e-01   1.000033113e+00   1.611580535e+03   2.187051477e+00   3.050230499e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.121918247e-05   8.017907886e-05   7.170121613e-01   5.141064395e-01   1.000033923e+00   1.608790492e+03   2.187051477e+00   3.050229264e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.250405518e-05   8.267839845e-05   7.170126387e-01   5.141071240e-01   1.000035255e+00   1.604354927e+03   2.187051477e+00   3.050227233e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.311080063e-05   8.385863270e-05   7.170128648e-01   5.141074484e-01   1.000035886e+00   1.602312627e+03   2.187051477e+00   3.050226271e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.446705516e-05   8.649680338e-05   7.170133725e-01   5.141081763e-01   1.000037302e+00   1.597866679e+03   2.176043376e+00   3.034871398e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.510949151e-05   8.774646318e-05   7.170136138e-01   5.141085223e-01   1.000037975e+00   1.595815673e+03   2.176043376e+00   3.034870377e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.582330968e-05   8.913497406e-05   7.170138822e-01   5.141089072e-01   1.000038723e+00   1.593574822e+03   2.176043376e+00   3.034869240e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.601960968e-05   8.951681456e-05   7.170139562e-01   5.141090134e-01   1.000038930e+00   1.592965628e+03   2.176043376e+00   3.034868927e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.734017330e-05   9.208555969e-05   7.170144548e-01   5.141097284e-01   1.000040321e+00   1.588946807e+03   2.165210940e+00   3.019759121e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.791122783e-05   9.319636840e-05   7.170146707e-01   5.141100380e-01   1.000040923e+00   1.587249898e+03   2.165210940e+00   3.019758212e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.889272782e-05   9.510557087e-05   7.170150423e-01   5.141105709e-01   1.000041960e+00   1.584388598e+03   2.165210940e+00   3.019756647e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.907118236e-05   9.545269859e-05   7.170151101e-01   5.141106681e-01   1.000042148e+00   1.583875266e+03   2.165210940e+00   3.019756362e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.957085508e-05   9.642465621e-05   7.170153000e-01   5.141109405e-01   1.000042678e+00   1.582450119e+03   2.154378504e+00   3.004647884e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
