t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_C2H5OH(15)     WG_C2H5OH(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    C2H5OH_x(26)      O2_x(27)          CO2_x(28)         CO_x(29)          H2O_x(30)         N2_x(31)          C2H5OH_w(32)      O2_w(33)          CO2_w(34)         CO_w(35)          H2O_w(36)         N2_w(37)          
1.687581680e-05   4.750860548e-05   5.960044760e-01   3.552213355e-01   1.000015020e+00   1.115960738e+00   1.108529325e-01   -3.783538267e-01  -4.510011484e-01    -1.416861895e+00    9.197513341e-02    3.019253769e+02   3.061333016e-04   6.017924903e-02   1.000000000e+00   1.179495108e-01   -8.437464246e+04  -1.831153144e+05    2.672357985e+05     -1.107165985e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.694562012e-02   2.219668548e-01   4.511781950e-01   8.475368344e-05   1.350829568e-06   2.298232255e-01   1.179495108e-01   1.875729144e-01   5.243831964e-01   6.269470372e-05   6.426788243e-07   1.700310410e-01   
1.748016224e-05   4.920995180e-05   5.960047066e-01   3.552216102e-01   1.000015794e+00   1.115961601e+00   1.108530611e-01   -3.846040774e-01  -4.584516806e-01    -1.440268432e+00    9.108105951e-02    3.020000429e+02   3.081217242e-04   5.960397763e-02   1.000000000e+00   1.184358068e-01   -8.354456688e+04  -1.880551527e+05    2.713416827e+05     -1.150530790e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.735351300e-02   2.218781472e-01   4.509393961e-01   1.064798722e-04   1.755925752e-06   2.297207079e-01   1.184358068e-01   1.874821705e-01   5.240615379e-01   7.875955212e-05   8.353395124e-07   1.699408899e-01   
1.808450767e-05   5.091129811e-05   5.960049407e-01   3.552218893e-01   1.000016580e+00   1.115962478e+00   1.108531917e-01   -3.906404847e-01  -4.656473178e-01    -1.462874193e+00    9.024611918e-02    3.020743110e+02   3.100786374e-04   5.906721201e-02   1.000000000e+00   1.189213024e-01   -8.276896944e+04  -1.928950470e+05    2.754022575e+05     -1.193696436e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.776069547e-02   2.217899825e-01   4.506984210e-01   1.319920665e-04   2.252305325e-06   2.296166566e-01   1.189213024e-01   1.873921301e-01   5.237380465e-01   9.762196026e-05   1.071391309e-06   1.698498276e-01   
1.831953089e-05   5.157293279e-05   5.960050326e-01   3.552219989e-01   1.000016888e+00   1.115962822e+00   1.108532430e-01   -3.922886683e-01  -4.676120411e-01    -1.469046553e+00    8.993587314e-02    3.021030866e+02   3.105090657e-04   5.886788193e-02   1.000000000e+00   1.191098957e-01   -8.248066511e+04  -1.947507745e+05    2.769687248e+05     -1.210429763e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.791885380e-02   2.217558543e-01   4.506040520e-01   1.430178774e-04   2.473181825e-06   2.295757488e-01   1.191098957e-01   1.873573192e-01   5.236116838e-01   1.057733289e-04   1.176421764e-06   1.698141516e-01   
1.897423845e-05   5.341605797e-05   5.960052918e-01   3.552223078e-01   1.000017758e+00   1.115963793e+00   1.108533876e-01   -3.981472696e-01  -4.745957592e-01    -1.490986550e+00    8.911301302e-02    3.021829408e+02   3.123931468e-04   5.833957521e-02   1.000000000e+00   1.196346955e-01   -8.171566679e+04  -1.998455411e+05    2.812949364e+05     -1.256890934e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.835891435e-02   2.216612684e-01   4.503390625e-01   1.771419753e-04   3.178538073e-06   2.294604343e-01   1.196346955e-01   1.872609760e-01   5.232578522e-01   1.309993758e-04   1.511806892e-06   1.697139651e-01   
1.944428489e-05   5.473932732e-05   5.960054800e-01   3.552225322e-01   1.000018389e+00   1.115964497e+00   1.108534927e-01   -4.020459631e-01  -4.792431944e-01    -1.505586899e+00    8.855680296e-02    3.022399911e+02   3.136363315e-04   5.798279835e-02   1.000000000e+00   1.200109345e-01   -8.119827917e+04  -2.034357938e+05    2.843654643e+05     -1.290106759e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.867434959e-02   2.215938423e-01   4.501467293e-01   2.049572115e-04   3.776202974e-06   2.293763454e-01   1.200109345e-01   1.871924290e-01   5.230020085e-01   1.515598162e-04   1.795962879e-06   1.696412723e-01   
1.962894600e-05   5.525918314e-05   5.960055545e-01   3.552226209e-01   1.000018639e+00   1.115964776e+00   1.108535342e-01   -4.042314020e-01  -4.818483217e-01    -1.513771148e+00    8.834630094e-02    3.022623387e+02   3.144611808e-04   5.784785780e-02   1.000000000e+00   1.201586141e-01   -8.100239631e+04  -2.048309451e+05    2.855633569e+05     -1.303123131e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.879814889e-02   2.215674725e-01   4.500706566e-01   2.166865806e-04   4.033967407e-06   2.293430015e-01   1.201586141e-01   1.871656528e-01   5.229010513e-01   1.602294864e-04   1.918509567e-06   1.696125338e-01   
2.019971669e-05   5.686601022e-05   5.960057866e-01   3.552228977e-01   1.000019418e+00   1.115965646e+00   1.108536638e-01   -4.088032574e-01  -4.872982140e-01    -1.530892489e+00    8.771916717e-02    3.023311800e+02   3.159511622e-04   5.744609018e-02   1.000000000e+00   1.206146030e-01   -8.041860750e+04  -2.090894929e+05    2.892353978e+05     -1.343237855e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.918034713e-02   2.214864163e-01   4.498335917e-01   2.559127504e-04   4.919102824e-06   2.292388130e-01   1.206146030e-01   1.870834675e-01   5.225873155e-01   1.892215141e-04   2.339298538e-06   1.695230532e-01   
2.078727474e-05   5.852009691e-05   5.960060282e-01   3.552231857e-01   1.000020229e+00   1.115966550e+00   1.108537986e-01   -4.132009429e-01  -4.925405057e-01    -1.547361634e+00    8.710965978e-02    3.024016887e+02   3.173768157e-04   5.705602263e-02   1.000000000e+00   1.210833323e-01   -7.985088867e+04  -2.133926435e+05    2.929682351e+05     -1.384352684e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.957313241e-02   2.214036907e-01   4.495864083e-01   3.009992452e-04   5.975872856e-06   2.291297935e-01   1.210833323e-01   1.869997809e-01   5.222615833e-01   2.225419671e-04   2.841639786e-06   1.694299199e-01   
2.108944746e-05   5.937077007e-05   5.960061537e-01   3.552233352e-01   1.000020650e+00   1.115967020e+00   1.108538686e-01   -4.165396047e-01  -4.965203353e-01    -1.559864638e+00    8.681110212e-02    3.024377983e+02   3.186664131e-04   5.686514130e-02   1.000000000e+00   1.213240526e-01   -7.957264675e+04  -2.155721611e+05    2.948674255e+05     -1.405419923e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.977480622e-02   2.213614764e-01   4.494579026e-01   3.262551733e-04   6.586080037e-06   2.290729735e-01   1.213240526e-01   1.869571613e-01   5.220928544e-01   2.412057984e-04   3.131688092e-06   1.693815942e-01   
